,ID,Chain_length,Chain_density,fsa,Coordination_number,Standard_deviation,Phase,sasa,Chain Radius of Gyration,NP Radius of Gyration,Asphericity
25,912249a3539a9cfda711eccf7a00a8c6/,24.0,2.5,0.45,1.0637623762376238,0.7005764847881589,1.0,0.3329424075947574,1.7337361756235137,0.2570728553024253,0.035585977842313626
26,91a98aae5ae1683ed1c68e98549f7120/,30.0,3.5,0.65,1.2776237623762376,0.6416604281765679,1.0,0.4150183338040832,1.3352689077082975,0.24186916039517606,0.05814727048149523
27,957f3500daae0148063869fac0acdaa7/,24.0,4.5,0.55,0.7730693069306932,0.6845755058240096,0.0,0.30987417659787186,2.051086124163944,0.2294028913445265,0.061549265513855214
28,96176d22c88369ef83b38796da5ec8de/,18.0,3.5,0.45,1.6435643564356435,0.6708167398923144,1.0,0.44102309043385274,2.3781992146456634,0.2656774877139823,0.06395830587651856
29,9c45d4c50f8ad31456ca18910f85e9d6/,18.0,3.5,0.65,2.20039603960396,1.2947263350675235,2.0,0.7103475770298187,2.39805928681269,0.3059818916497544,0.1026412160281609
30,acc857415e2103931235b29c4b128273/,18.0,4.5,0.45,1.5936633663366337,0.8446025313350968,1.0,0.35525152881735045,2.3652060537463044,0.24761721644208445,0.06359890696325869
31,b3bdf2d47794799d2b44c73194fcd01f/,15.0,3.5,0.2,0.008712871287128714,0.018431804005101145,0.0,0.1906033850181333,2.7888402110393944,0.2591099364710934,0.01650360289266127
32,c3af18291f93bbfe0972c9603ab768f2/,27.0,3.5,0.55,0.8554455445544555,0.6115895360547831,0.0,0.33069439562945807,1.5064877117211162,0.2315705667394186,0.05919583441862913
33,c45084290ee1a7f1a761b78aca0f21c1/,18.0,4.0,0.55,1.7148514851485148,0.5263156243711657,1.0,0.5008371341017157,2.394190681174091,0.2694065377080124,0.08635307829866183
34,d8075c4ee1ffa9e0e871580daa35a7e5/,30.0,2.5,0.55,1.1928712871287128,0.6323694710583948,1.0,0.3614763308183298,1.3022043727910992,0.2445010286981201,0.05934520383358579
35,d8a42042a176dbbaba9cf3822a464a89/,24.0,2.5,0.55,1.8558415841584155,0.6908199992370998,1.0,0.45662671405564403,1.6362195410241989,0.2770074596503412,0.056069851906728266
36,da3a0b27b5418fecbc973d7d4f4142b4/,21.0,3.5,0.5,1.3798019801980197,0.64219430711077,1.0,0.43153898335943813,2.0874614440519887,0.2565352293731044,0.059603054251805884
37,dc4a28a9e10cd1b3f8075db53b59c9d8/,24.0,4.2,0.55,1.150891089108911,0.5479983270542613,1.0,0.0,0.0,0.0,0.0
38,ddf99f76ce3edfaa39be6b3d6eec6156/,24.0,3.5,0.55,1.2205940594059406,0.652140992223207,1.0,0.38552962553983144,1.7581655024977032,0.2454108802745809,0.06154139575346061
39,dea8e7530829b904bb8fd49b668bbf71/,30.0,3.5,0.45,0.0,0.0,0.0,0.20576239793124854,1.3330478367391476,0.20676229825316447,0.041752585224807806
40,e7ab55455186f19e3bc0421bda362bac/,18.0,3.0,0.45,1.812277227722772,0.6158478239790853,1.0,0.47369319881600497,2.478119418508351,0.2776369595181025,0.06350200989308427
41,ef19c3b8bdcd0a4b572e3a4916cc78bb/,15.0,3.5,0.55,2.6954455445544556,1.1394393219625463,2.0,0.6277562411029559,2.3223803815879047,0.3054790494247545,0.09352722442729124
42,f8a73f08831ea12384e905c765027a9c/,15.0,3.5,0.3,1.3679207920792078,0.7086214354578294,1.0,0.32194649369976575,3.2723764553460186,0.26895735435364204,0.035474041491914916
43,ff4381f015c78de7e08c53c11acb5330/,18.0,4.0,0.35,0.6106930693069308,0.6519858438902422,0.0,0.26376092741180646,2.5615476451127144,0.2434431557934065,0.04316779864197919
