,bead_diameter,fsa,nanoparticle_radius,chainlength,chain_density,coating_pattern,statepoint,status,sasa,signac_id,root
076e025e8fb69ce4b177bcfc9e38de77,0.6,0.45,2.5,5,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.45000000000000007, 'nanoparticle_radius': 2.5, 'chainlength': 15, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'076e025e8fb69ce4b177bcfc9e38de77-equilibrate': 1, '076e025e8fb69ce4b177bcfc9e38de77-initialize': 1, '076e025e8fb69ce4b177bcfc9e38de77-calc_sasa': 1, '076e025e8fb69ce4b177bcfc9e38de77-log_sasa': 1}",15.82991415,076e025e8fb69ce4b177bcfc9e38de77,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0850393d85aded405641ac8800af781d,0.6,0.6,2.5,9,3.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6000000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 3.5, 'coating_pattern': 'bipolar'}","{'0850393d85aded405641ac8800af781d-initialize': 1, '0850393d85aded405641ac8800af781d-log_sasa': 1, '0850393d85aded405641ac8800af781d-equilibrate': 1, '0850393d85aded405641ac8800af781d-calc_sasa': 1}",9.578378639,0850393d85aded405641ac8800af781d,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
08ab7c91dfcbcb11306f53f421c567f0,0.6,0.2,2.5,6,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.2, 'nanoparticle_radius': 2.5, 'chainlength': 18, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'08ab7c91dfcbcb11306f53f421c567f0-equilibrate': 1, '08ab7c91dfcbcb11306f53f421c567f0-calc_sasa': 1, '08ab7c91dfcbcb11306f53f421c567f0-initialize': 1, '08ab7c91dfcbcb11306f53f421c567f0-log_sasa': 1}",2.120779982,08ab7c91dfcbcb11306f53f421c567f0,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0a8d8dc6cca4d7e3be11ddb0a7537e3d,0.6,0.25,2.5,11,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.25, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'0a8d8dc6cca4d7e3be11ddb0a7537e3d-initialize': 1, '0a8d8dc6cca4d7e3be11ddb0a7537e3d-equilibrate': 1, '0a8d8dc6cca4d7e3be11ddb0a7537e3d-calc_sasa': 1, '0a8d8dc6cca4d7e3be11ddb0a7537e3d-log_sasa': 1}",1.421911769,0a8d8dc6cca4d7e3be11ddb0a7537e3d,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0b1e9344cf5b4f1c91ede5d76e98e578,0.6,0.65,2.5,9,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'0b1e9344cf5b4f1c91ede5d76e98e578-log_sasa': 1, '0b1e9344cf5b4f1c91ede5d76e98e578-calc_sasa': 1, '0b1e9344cf5b4f1c91ede5d76e98e578-initialize': 1, '0b1e9344cf5b4f1c91ede5d76e98e578-equilibrate': 1}",8.754718742,0b1e9344cf5b4f1c91ede5d76e98e578,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0be4fe62f77426a1e072f0ca46da110b,0.6,0.15,2.5,7,3,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'0be4fe62f77426a1e072f0ca46da110b-equilibrate': 1, '0be4fe62f77426a1e072f0ca46da110b-initialize': 1, '0be4fe62f77426a1e072f0ca46da110b-calc_sasa': 1, '0be4fe62f77426a1e072f0ca46da110b-log_sasa': 1}",3.087647395,0be4fe62f77426a1e072f0ca46da110b,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0c2e84a2b995d2e7f7a5ce5051c24d27,0.6,0.4,2.5,8,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 24, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'0c2e84a2b995d2e7f7a5ce5051c24d27-initialize': 1, '0c2e84a2b995d2e7f7a5ce5051c24d27-equilibrate': 1, '0c2e84a2b995d2e7f7a5ce5051c24d27-calc_sasa': 1, '0c2e84a2b995d2e7f7a5ce5051c24d27-log_sasa': 1}",4.312184839,0c2e84a2b995d2e7f7a5ce5051c24d27,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0c82f50163ea6f3878c4ebf78dc5b529,0.6,0.2,2.5,10,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.2, 'nanoparticle_radius': 2.5, 'chainlength': 30, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'0c82f50163ea6f3878c4ebf78dc5b529-calc_sasa': 1, '0c82f50163ea6f3878c4ebf78dc5b529-log_sasa': 1, '0c82f50163ea6f3878c4ebf78dc5b529-equilibrate': 1, '0c82f50163ea6f3878c4ebf78dc5b529-initialize': 1}",1.292936246,0c82f50163ea6f3878c4ebf78dc5b529,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0c96931be6a3248c34e83cddef59061d,0.6,0.3,2.5,9,3,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.30000000000000004, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'0c96931be6a3248c34e83cddef59061d-initialize': 1, '0c96931be6a3248c34e83cddef59061d-calc_sasa': 1, '0c96931be6a3248c34e83cddef59061d-log_sasa': 1, '0c96931be6a3248c34e83cddef59061d-equilibrate': 1}",3.74311502,0c96931be6a3248c34e83cddef59061d,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0d1cb020130935b75d4621505b78eea8,0.6,0.4,2.5,6,2,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 18, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'0d1cb020130935b75d4621505b78eea8-equilibrate': 1, '0d1cb020130935b75d4621505b78eea8-calc_sasa': 1, '0d1cb020130935b75d4621505b78eea8-log_sasa': 1, '0d1cb020130935b75d4621505b78eea8-initialize': 1}",15.50901024,0d1cb020130935b75d4621505b78eea8,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
0d9d841ee01e0831b6261320905a9b69,0.6,0.15,2.5,5,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 15, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'0d9d841ee01e0831b6261320905a9b69-log_sasa': 1, '0d9d841ee01e0831b6261320905a9b69-equilibrate': 1, '0d9d841ee01e0831b6261320905a9b69-calc_sasa': 1, '0d9d841ee01e0831b6261320905a9b69-initialize': 1}",6.162753201,0d9d841ee01e0831b6261320905a9b69,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
10c8dd79f7ce03abdbe3d2358a2607ed,0.6,0.15,2.5,8,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 24, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'10c8dd79f7ce03abdbe3d2358a2607ed-initialize': 1, '10c8dd79f7ce03abdbe3d2358a2607ed-calc_sasa': 1, '10c8dd79f7ce03abdbe3d2358a2607ed-equilibrate': 1, '10c8dd79f7ce03abdbe3d2358a2607ed-log_sasa': 1}",3.525994329,10c8dd79f7ce03abdbe3d2358a2607ed,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
10ee00693d8d023ffa4fc6d98f679794,0.6,0.35,2.5,11,3,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'10ee00693d8d023ffa4fc6d98f679794-calc_sasa': 1, '10ee00693d8d023ffa4fc6d98f679794-equilibrate': 1, '10ee00693d8d023ffa4fc6d98f679794-initialize': 1, '10ee00693d8d023ffa4fc6d98f679794-log_sasa': 1}",3.606659966,10ee00693d8d023ffa4fc6d98f679794,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
121a2d36050033bde794213a231bc67d,0.6,0.15,2.5,7,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'121a2d36050033bde794213a231bc67d-calc_sasa': 1, '121a2d36050033bde794213a231bc67d-initialize': 1, '121a2d36050033bde794213a231bc67d-equilibrate': 1, '121a2d36050033bde794213a231bc67d-log_sasa': 1}",1.259531317,121a2d36050033bde794213a231bc67d,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
12aca5ba6c107e479e01e6d0ad2ac2ae,0.6,0.5,2.5,7,4.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.5000000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 4.5, 'coating_pattern': 'bipolar'}","{'12aca5ba6c107e479e01e6d0ad2ac2ae-initialize': 1, '12aca5ba6c107e479e01e6d0ad2ac2ae-equilibrate': 1, '12aca5ba6c107e479e01e6d0ad2ac2ae-log_sasa': 1}",8.637089491,12aca5ba6c107e479e01e6d0ad2ac2ae,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
12e5c9117cbbd0b134acd89530613ea8,0.6,0.4,2.5,9,3,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'12e5c9117cbbd0b134acd89530613ea8-calc_sasa': 1, '12e5c9117cbbd0b134acd89530613ea8-log_sasa': 1, '12e5c9117cbbd0b134acd89530613ea8-initialize': 1, '12e5c9117cbbd0b134acd89530613ea8-equilibrate': 1}",6.031044436,12e5c9117cbbd0b134acd89530613ea8,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
134d175887797dafcad49a3a03218273,0.6,0.3,2.5,11,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.30000000000000004, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'134d175887797dafcad49a3a03218273-initialize': 1, '134d175887797dafcad49a3a03218273-calc_sasa': 1, '134d175887797dafcad49a3a03218273-equilibrate': 1, '134d175887797dafcad49a3a03218273-log_sasa': 1}",1.073014255,134d175887797dafcad49a3a03218273,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
136e4efda8556957a915f4a10319b9b2,0.6,0.65,2.5,9,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'136e4efda8556957a915f4a10319b9b2-log_sasa': 1, '136e4efda8556957a915f4a10319b9b2-equilibrate': 1, '136e4efda8556957a915f4a10319b9b2-calc_sasa': 1, '136e4efda8556957a915f4a10319b9b2-initialize': 1}",10.94823406,136e4efda8556957a915f4a10319b9b2,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
1370ec3bd30a90c2b8417cc52c82300f,0.6,0.2,2.5,9,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.2, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'1370ec3bd30a90c2b8417cc52c82300f-initialize': 1, '1370ec3bd30a90c2b8417cc52c82300f-calc_sasa': 1, '1370ec3bd30a90c2b8417cc52c82300f-log_sasa': 1, '1370ec3bd30a90c2b8417cc52c82300f-equilibrate': 1}",0.591485749,1370ec3bd30a90c2b8417cc52c82300f,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
13d444e6f1c1a05d57e130c1abcc62fd,0.6,0.65,2.5,10,2,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 30, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'13d444e6f1c1a05d57e130c1abcc62fd-calc_sasa': 1, '13d444e6f1c1a05d57e130c1abcc62fd-initialize': 1, '13d444e6f1c1a05d57e130c1abcc62fd-equilibrate': 1, '13d444e6f1c1a05d57e130c1abcc62fd-log_sasa': 1}",15.58617393,13d444e6f1c1a05d57e130c1abcc62fd,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
1446c27cdda41956f1efcc6d50fff384,0.6,0.6,2.5,10,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6000000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 30, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'1446c27cdda41956f1efcc6d50fff384-equilibrate': 1, '1446c27cdda41956f1efcc6d50fff384-calc_sasa': 1, '1446c27cdda41956f1efcc6d50fff384-log_sasa': 1, '1446c27cdda41956f1efcc6d50fff384-initialize': 1}",6.640820341,1446c27cdda41956f1efcc6d50fff384,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
151727810e733663aaf7c9acb70309e6,0.6,0.65,2.5,5,3,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6500000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 15, 'chain_density': 3.0, 'coating_pattern': 'bipolar'}","{'151727810e733663aaf7c9acb70309e6-log_sasa': 1, '151727810e733663aaf7c9acb70309e6-equilibrate': 1, '151727810e733663aaf7c9acb70309e6-calc_sasa': 1, '151727810e733663aaf7c9acb70309e6-initialize': 1}",21.80456856,151727810e733663aaf7c9acb70309e6,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
15947b3cb1114d7385f7a3ea3c66bc47,0.6,0.35,2.5,6,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 18, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'15947b3cb1114d7385f7a3ea3c66bc47-equilibrate': 1, '15947b3cb1114d7385f7a3ea3c66bc47-log_sasa': 1, '15947b3cb1114d7385f7a3ea3c66bc47-calc_sasa': 1, '15947b3cb1114d7385f7a3ea3c66bc47-initialize': 1}",6.905244932,15947b3cb1114d7385f7a3ea3c66bc47,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
15c4ae21a2096794c1ec998c295c5a1c,0.6,0.5,2.5,7,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.5000000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'15c4ae21a2096794c1ec998c295c5a1c-log_sasa': 1, '15c4ae21a2096794c1ec998c295c5a1c-initialize': 1, '15c4ae21a2096794c1ec998c295c5a1c-equilibrate': 1, '15c4ae21a2096794c1ec998c295c5a1c-calc_sasa': 1}",7.181618423,15c4ae21a2096794c1ec998c295c5a1c,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
164cc669bbfddf49c65669a921a421bc,0.6,0.45,2.5,6,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.45000000000000007, 'nanoparticle_radius': 2.5, 'chainlength': 18, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'164cc669bbfddf49c65669a921a421bc-initialize': 1, '164cc669bbfddf49c65669a921a421bc-log_sasa': 1, '164cc669bbfddf49c65669a921a421bc-calc_sasa': 1, '164cc669bbfddf49c65669a921a421bc-equilibrate': 1}",7.874128208,164cc669bbfddf49c65669a921a421bc,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
16843b4b5367cb7ba017dd11cdf3c02a,0.6,0.15,2.5,9,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.15, 'nanoparticle_radius': 2.5, 'chainlength': 27, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'16843b4b5367cb7ba017dd11cdf3c02a-initialize': 1, '16843b4b5367cb7ba017dd11cdf3c02a-equilibrate': 1, '16843b4b5367cb7ba017dd11cdf3c02a-log_sasa': 1, '16843b4b5367cb7ba017dd11cdf3c02a-calc_sasa': 1}",0.408027227,16843b4b5367cb7ba017dd11cdf3c02a,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
178dce51f72cd6b1468a93b49911d5e9,0.6,0.4,2.5,7,2,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'178dce51f72cd6b1468a93b49911d5e9-equilibrate': 1, '178dce51f72cd6b1468a93b49911d5e9-calc_sasa': 1, '178dce51f72cd6b1468a93b49911d5e9-log_sasa': 1, '178dce51f72cd6b1468a93b49911d5e9-initialize': 1}",13.29482616,178dce51f72cd6b1468a93b49911d5e9,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
17ddaa62471e5f553ce05a78452a63ab,0.6,0.35,2.5,11,2.5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 33, 'chain_density': 2.5, 'coating_pattern': 'bipolar'}","{'17ddaa62471e5f553ce05a78452a63ab-log_sasa': 1, '17ddaa62471e5f553ce05a78452a63ab-initialize': 1, '17ddaa62471e5f553ce05a78452a63ab-calc_sasa': 1, '17ddaa62471e5f553ce05a78452a63ab-equilibrate': 1}",4.870778503,17ddaa62471e5f553ce05a78452a63ab,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
180b75964d9db0a7f709531bcfbbdc24,0.6,0.35,2.5,7,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.3500000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 21, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'180b75964d9db0a7f709531bcfbbdc24-initialize': 1, '180b75964d9db0a7f709531bcfbbdc24-equilibrate': 1, '180b75964d9db0a7f709531bcfbbdc24-log_sasa': 1, '180b75964d9db0a7f709531bcfbbdc24-calc_sasa': 1}",4.881250167,180b75964d9db0a7f709531bcfbbdc24,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
1949c18d1f85a9dd4c36a08a883083cb,0.6,0.5,2.5,8,4,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.5000000000000001, 'nanoparticle_radius': 2.5, 'chainlength': 24, 'chain_density': 4.0, 'coating_pattern': 'bipolar'}","{'1949c18d1f85a9dd4c36a08a883083cb-equilibrate': 1, '1949c18d1f85a9dd4c36a08a883083cb-log_sasa': 1, '1949c18d1f85a9dd4c36a08a883083cb-initialize': 1, '1949c18d1f85a9dd4c36a08a883083cb-calc_sasa': 1}",7.744056244,1949c18d1f85a9dd4c36a08a883083cb,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
196e0841c3c5bac33d2f8698ddd04bd7,0.6,0.6,2.5,5,2,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.6000000000000002, 'nanoparticle_radius': 2.5, 'chainlength': 15, 'chain_density': 2.0, 'coating_pattern': 'bipolar'}","{'196e0841c3c5bac33d2f8698ddd04bd7-log_sasa': 1, '196e0841c3c5bac33d2f8698ddd04bd7-equilibrate': 1, '196e0841c3c5bac33d2f8698ddd04bd7-initialize': 1, '196e0841c3c5bac33d2f8698ddd04bd7-calc_sasa': 1}",24.60246216,196e0841c3c5bac33d2f8698ddd04bd7,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
19f39539da8eab8c9dc7b34f97c44434,0.6,0.4,2.5,10,5,bipolar,"{'bead_diameter': 0.6, 'fsa': 0.40000000000000013, 'nanoparticle_radius': 2.5, 'chainlength': 30, 'chain_density': 5.0, 'coating_pattern': 'bipolar'}","{'19f39539da8eab8c9dc7b34f97c44434-initialize': 1, '19f39539da8eab8c9dc7b34f97c44434-equilibrate': 1, '19f39539da8eab8c9dc7b34f97c44434-log_sasa': 1, '19f39539da8eab8c9dc7b34f97c44434-calc_sasa': 1}",2.543065662,19f39539da8eab8c9dc7b34f97c44434,/Volumes/Backup_8TB_drive_2/tethered-nanoparticles/tnp-screening-single/workspace
